Flavour	Worst	Bad	Meh	Good	Best
Banana	55	25	39	19	24
Boston Cream Pie	27	6	42	8	14
Butter Pecan	21	11	29	14	18
Canadian Maple	22	10	26	10	9
Chocolate Brownie	17	13	58	61	37
Chocolate Brownie Batter	13	11	27	23	25
Chocolate Caramel Pretzel	13	7	37	13	13
Chocolate Mint	24	10	35	56	59
Chocolate Smooth	12	13	57	161	123
Cinnamon Roll	15	16	34	20	36
Cookie and Cream	32	26	51	35	29
French Toast	15	12	24	14	14
Glazed Donut	17	10	26	5	15
Matcha	16	15	21	8	13
Mocha	19	16	38	54	56
Natural Banana	18	10	19	11	11
Natural Strawberry	13	7	37	24	19
Natural Vanilla	8	7	42	37	31
Rocky Road	21	11	33	23	16
Salted Caramel	11	20	39	71	81
Snickerdoodle	14	9	24	15	18
Strawberry Cream	12	12	48	76	86
Vanilla	9	12	50	60	53
White Candy Cane	16	11	17	5	11
Unflavoured	27	14	35	20	34
Pineapple	21	6	15	5	6
German Apple Pie & Vanilla Sauce	9	5	15	1	5
Banoffee	10	2	14	3	9
Strawberry Jam	11	5	10	5	7
Blueberry	9	5	14	7	10
Blueberry Cheesecake	12	6	11	4	11
Raspberry	10	1	12	4	6
Coffee Caramel	12	2	12	4	5
Coconut	11	3	14	2	9
Lattee	10	1	15	4	9
Marzipan	12	4	7	2	7
Milk Tea	11	3	9	2	4
Natural Chocolate	7	2	15	14	15
Peach Tea	10	4	12	4	3
Pistachio	9	4	11	3	3
Rhubarb & Vanilla Sauce	8	8	9	3	3
Creamy Orange	11	6	7	3	4
Chocolate Banana	10	3	13	4	10
Chocolate Peanut Butter	11	1	16	9	12
Chocolate Coconut	10	3	17	3	4
Chocolat Nut	11	3	14	4	5
Chocolat Orange	11	2	14	2	6
Summer Fruits	6	5	11	2	4
Spekulatius	10	4	11	3	5
Stevia - Banana	10	2	8	3	5
Stevia - Strawberry	9	2	8	4	5
Stevia - Blueberry & Raspberry	12	3	7	2	5
Stevia - Chocolate	9	3	9	4	5
Stevia - Chocolate Mint	9	4	12	3	4
Stevia - Vanilla	8	4	10	3	6
Sticky Toffee Pudding	8	3	14	3	8
Stracciatella	9	4	12	6	4
Tiramisu	8	7	10	7	6
Vanilla & Raspberry	8	4	10	2	9
White Chocolate	10	5	10	10	5
Lemon Cheesecake	13	2	8	4	5
Pumpkin Pie	10	6	8	3	16
